26,6,9,47,15.4
49,5,1,1,0.1
74,8.5,4,3.4,3.5
104,7,7,2,0.7
110,15.8,7.9,3.9,3.6
119,10.2,7.9,3.9,2.2
149,47.2,7.9,3.9,15.4
160,3.8,3.5,3,0.9
231,2.8,5.5,7.9,0.3
331,7.7,1.8,13.6,1.1
359,7.7,1.8,13.6,0.9
364,6,4,0.8,0.1
459,24.8,2.2,2.2,4.5
485,6.3,4,2,1.6
515,24,8,0.5,1
517,21,12,1,1
532,9,4,2.3,0.9
563,1.3,3.8,5.5,0.1
571,9.3,9.8,2.2,2.7
600,10,6,6,0.5
610,2.8,3.7,1.6,0.4
623,0.9,8.1,10.9,0.3
636,7,5,1,1
656,24,8,0.5,1
697,24,8,0.5,1
800,3,3,1,0.2
835,11,7,4,4
850,8,5,8.5,9
903,40,9,29,10
911,7,5.9,2.6,1.5
912,2.8,2.8,3.3,0.5
922,16,10,2,4
923,7,5,0.6,0.5
965,9,9,9,2.4
977,6,4,1,0.1
994,54,8,5,7
997,24,8,0.5,1
1019,6.5,6.3,2.6,1.5
1026,28,8,24,16.5
1033,12,7,2,2.5
1045,15,15,6,10
1137,10,6,0.8,0.3
1140,12,6.5,1.9,3
1207,3.5,4,5.4,0.7
1210,24,8,0.5,1
1236,10,10,2,3
1282,9,7,3,2.6
1336,12,7,2,3
1365,5,5,2.5,2
1375,12,8,12.1,4.1
1387,6.4,6.4,11,1.1
1407,10,6,0.5,1.1
1452,10,10,4,2
1466,12,7,2,2.5
1469,6,4,0.5,0.1
1500,12,7,2,3
1561,8.5,4,3.4,3
1582,34,7,24,21.5
1622,32,6.5,26,19.5
1645,11.1,2.3,15.1,1.7
1651,3,1.8,9.4,4
1665,19,19,10,23.4
1683,2.8,5.5,7.9,0.7
1829,5,5,2.5,2
1885,7,5,1,1.1
1955,5.1,3.5,3.5,0.8
1960,7.7,1.8,13.6,1.1
2004,15,15,6,16
2010,2.8,3.7,1.6,0.4
2050,2,2,2,0.3
2058,11,7,4,2
2067,15.8,3.4,3.1,1.5
2180,8.5,4,2.5,6.1
2222,13,10.2,9.8,22.1
2227,7.4,3,1.4,0.1
2254,14,14,5,16.9
2260,5,5,2,1
2261,5,1,1,0.1
2278,6.3,4,2,1.8
2338,48,18,12,38
2339,2.8,5.5,7.9,0.1
2351,14,14,5,14.6
2362,2,4,7,1
2407,8.5,4,3.4,5.1
2514,24,8,0.5,1.5
2549,2.5,6,2,1
2556,9,4,2.3,1
2664,24,8,0.5,1
2666,25.6,5.3,5.3,5.2
2671,2.8,3.7,1.6,0.4
2713,9,5.8,2.9,4.1
2826,5,1,1,0.1
2864,9.8,8.9,3,3.2
2883,6.4,6.8,2.2,1.1
2928,10,6,0.8,1
2946,12,7,2,3
2947,2.3,2.3,3.8,0.4
2974,14,3,11,2
2982,15,15,6,18
3005,62,14,17,13
3054,15,15,6,18
3083,11,7.5,2.5,12.5
3182,4,3,4,0.5
3210,4,3,4,0.8
3276,2,7,7,0.8
3292,47.2,7.9,3.9,13.2
3315,47.2,7.9,3.9,4.4
3317,6,4,1,0.2
3326,3.6,3.6,1,0.1
3353,12,10,2,0.2
3358,17,17,11,42
3398,9.6,4.4,3.9,9.7
3410,15,15,6,11
3547,24,8,0.5,1
3549,17.5,9.5,2,2.6
3564,13,7,26,9
3568,15.8,7.9,3.9,2
3611,12,7,2,4
3632,15,15,6,25
3749,15,15,6,14
3751,6.3,4,2,1.2
3770,15,15,6,16
3791,3,6,8,3
3854,4,3.5,5.4,1.5
3922,26,3,2.8,13.2
3945,15,15,6,18
3961,2,7,7,1
3967,24,8,0.5,1
3990,23,11,11,41.2
3992,17,17,11,42
3993,21,12,1,9.3
3998,4,4,2,1.3
4049,10.9,10.9,6.5,2.5
4103,15,7.9,3.5,2.6
4129,10.3,10.3,3.9,1.1
4167,35.4,12.6,15.7,42.3
4197,14.2,7.1,2.4,4.6
4211,24,8,0.5,1
4240,2,2,2,0.5
4268,2.8,5.5,7.9,0.5
4287,10,10,4,2
4294,6.8,2.9,2,0.4
4319,2.8,5.5,7.9,0.4
4369,8,6.5,5,4
4403,6,4,0.6,0.2
4455,6,8,4,2
4474,26.4,16.5,7.3,35.9
4556,24,8,0.5,1
4568,5,1,1,0.1
4633,5,10,9.3,5
4643,12,12,12,28
4645,24,8,0.5,1
4663,4,4,1,0.5
4671,15,15,6,20
4731,9,6,3,7
4752,15,15,6,15
4753,9.3,5.8,0.6,0.2
4754,8.2,5.4,3.9,3.8
4847,3,3,1,0.3
4851,12,7,2,4
4879,24,8,0.5,1
4892,2.8,5.5,7.9,2
4924,21.3,6.5,3.1,13.2
4954,51,9,20,37
4974,22,6.1,5.9,4.4
4975,11,4.5,0.5,0.8
5028,17,6,2,2
5099,8,9,1,1
5134,23,12,1,0.1
5149,10.4,1.8,11.6,0.8
5240,6.7,6.9,6.5,2
5261,22,10,5.5,4.5
5311,15,9,9,22
5314,19.5,19.5,9.5,22.3
5354,15,15,6,12
5368,21,13,10,6
5409,11,5,5,2.9
5430,11.7,12.1,2.8,3.2
5434,2.8,5.5,7.9,0.3
5489,24,8,0.5,1
5497,36,9,6,4
5506,23,9,0.3,1
5510,8.5,4,3.4,3.2
5535,14,9.2,7.3,7
5545,2.8,3.7,1.6,0.4
5546,54,11,5,6.5
5571,6,5,3,1.5
5592,8.5,4.8,4,5.4
5615,2.8,5.5,7.9,0.2
5651,3.9,3.1,2,0.4
5697,4.9,4.1,0.4,0.1
5737,4.3,3,1.5,0.3
5780,15,15,6,28
5808,8.8,8.8,4,5
6033,54,8,5,6
6035,9,4,2.3,0.9
6040,5,3.5,9.6,2
6065,19.3,3,2.8,6.6
6082,60,21,12,57
6094,1.4,5.3,7.2,0.3
6122,6,4,0.5,0.1
6128,7,5,0.9,0.5
6217,8,8,0.8,0.8
6310,9,4,2.3,1.3
6342,14,14,5,22.9
6378,4,3.5,5.4,1.4
6380,1,2,3,1
6510,24,8,0.5,1
6512,15,8,4,3
6600,15,15,6,18
6601,6.3,6.3,10.9,1.4
6723,14,14,5,20.9
6728,11,7,4,5
6738,3,3,3,1
6767,24,8,0.5,1
6805,42.5,21.5,4.8,30
6886,1.3,2.8,4.5,0.1
6923,16,12,6,2
6949,6,4,0.6,0.3
6970,21,12,1,1
6992,10.3,6.1,4.4,0.8
6993,11.1,2.3,15.1,1.4
7011,14,7,3,4
7050,15,15,6,25
7094,9,6,3,7
7095,6,4,0.1,0.2
7109,15,15,4,4.5
7132,21,10,3.5,2
7159,15,15,6,15
7177,2.8,3.7,1.6,0.4
7182,8,5,4,2
7198,14,14,5,33.6
7309,15,15,6,28
